Designator,Mid X,Mid Y,Rotation,Layer
AS5600_2,130.32,-80.565,0.0,bottom
AS5600,122.5,-101.685,0.0,top
BATT1,200.0,-76.5,180.0,bottom
BATT2,194.69,-112.4475,90.0,bottom
BATT4,120.32,-35.835,0.0,bottom
BATT5,208.75,-92.9,0.0,bottom
BT2,162.218102,-118.0,0.0,top
C1,192.0,-93.8625,90.0,top
C2,188.5,-95.5,90.0,top
C3,163.0,-42.0,270.0,bottom
D1,207.5,-70.0,90.0,top
D2,191.0,-88.0,270.0,top
D3,224.75,-90.75,270.0,top
D4,117.3,-49.2,270.0,top
D5,171.6,-117.0,0.0,top
DPS310,189.0,-63.92,180.0,top
J1,151.500741,-55.302224,90.0,top
J10,179.075,-75.95,0.0,top
J11,128.3,-36.385,180.0,top
J12,131.8,-116.2,0.0,top
J13,149.5,-74.5,180.0,bottom
J14,213.75,-113.75,0.0,bottom
J15,218.25,-94.7,0.0,top
J2,192.415,-97.7725,270.0,bottom
J3,196.05,-75.95,0.0,top
J4,205.5,-64.0,180.0,top
J5,162.1,-75.95,0.0,top
J6,205.5,-57.5,180.0,top
J7,192.64,-103.4475,90.0,top
J8,150.05,-105.95,270.0,top
J9,173.69,-103.11,180.0,top
Q1,206.8125,-109.25,180.0,bottom
Q2,118.8,-45.2,0.0,top
R1,177.69,-102.0,0.0,bottom
R10,180.5,-67.0,270.0,top
R11,188.0,-41.4125,90.0,top
R12,188.0675,-46.0,270.0,top
R13,180.5,-98.0,0.0,bottom
R14,132.8,-85.7,90.0,top
R15,224.75,-94.75,90.0,top
R16,210.75,-94.75,0.0,top
R17,159.0,-32.5,180.0,top
R18,182.5,-60.0,90.0,bottom
R19,211.1625,-105.75,0.0,bottom
R2,176.0,-106.0,90.0,bottom
R20,182.5,-67.0,270.0,top
R21,207.6625,-105.75,0.0,bottom
R22,186.0,-88.0,270.0,top
R23,211.5,-69.0875,270.0,top
R24,196.5,-45.5,270.0,bottom
R26,131.8,-35.2,270.0,bottom
R28,196.5,-49.0,270.0,bottom
R3,176.9125,-100.0,180.0,bottom
R31,121.3,-68.7,270.0,top
R32,135.32,-103.835,270.0,top
R33,150.5,-116.5,180.0,top
R34,150.4125,-119.5,0.0,top
R35,123.3,-62.2,90.0,bottom
R36,120.3,-62.2875,90.0,bottom
R37,211.1625,-102.75,0.0,bottom
R38,207.6625,-102.75,0.0,bottom
R39,216.25,-105.8375,270.0,bottom
R4,167.0875,-117.0,0.0,top
R40,211.1625,-100.25,0.0,bottom
R41,125.3,-45.7,90.0,top
R42,123.3,-45.7,270.0,top
R43,134.7125,-44.2,0.0,bottom
R44,129.8,-45.7875,90.0,top
R45,131.8,-45.7875,270.0,top
R46,136.8,-46.7,180.0,top
R5,167.5,-68.0,90.0,top
R6,133.3,-69.7,180.0,bottom
R7,170.0,-120.5,90.0,bottom
R8,165.0,-120.5,270.0,bottom
R9,180.5,-58.0,90.0,bottom
SW1,150.5,-39.0,180.0,top
U1,174.833241,-40.861224,0.0,top
U10,137.3,-42.7,270.0,top
U11,201.5825,-40.861224,0.0,top
U2,155.19,-91.9475,270.0,top
U3,215.141,-106.3325,270.0,top
U4,171.655741,-63.0,180.0,top
U5,155.489,-104.0825,270.0,bottom
U6,179.0,-118.5,90.0,top
U7,208.25,-91.25,90.0,top
U8,130.3,-103.835,270.0,top
U9,128.771,-57.7525,90.0,top
